,id,asin,description,title,price,imUrl,brand,category1,category2,profit,cp
88,6580,B07P8QRGGV,Men's Casual Trousers,Amazon Brand - Symbol Men's Casual Trousers,584,https://images-na.ssl-images-amazon.com/images/I/71lCCPrVM5L._UL1500_.jpg,Symbol,Clothing,Men,57,527
89,6834,B07MRCDBTC,512 white tab slim tapered fit trousers in fog beige colour. Row with a tailor-inspired taper. The 512 slim taper fit trouser is infused with just the right amount of stretch; for comfort that keeps up with your every move. This pair is made from comfy stretch twill that has been brushed on one side; giving the interior an extra soft feel.,Levi's Men's Tapered Fit Casual Trousers,1999,https://images-na.ssl-images-amazon.com/images/I/71dqPrxHRSL._UL1500_.jpg,Levis,Clothing,Men,421,1578
90,6889,B07F5R2CTV,A modern slim with room to move; the 511 slim fit pants are a classic since right now. This pair is made from comfy stretch twill that has been brushed on one side; giving the interior an extra soft feel.,Levi's Men's Slim Fit Chinos,1047,https://images-na.ssl-images-amazon.com/images/I/7124eEa8KrL._UL1500_.jpg,Levis,Clothing,Men,1,1046
91,6944, B07MKKVKDL,512 white tab slim tapered fit trousers in forest Green colour. Row with a tailor-inspired taper. The 512 slim taper fit trouser is infused with just the right amount of stretch; for comfort that keeps up with your every move. This pair is made from comfy stretch twill that has been brushed on one side; giving the interior an extra soft feel.,Levi's Men's Tapered Fit Casual Trousers,3699,https://images-na.ssl-images-amazon.com/images/I/71cVjFfkY5L._UL1500_.jpg,Levis,Clothing,Men,1303,2396
92,7002,B01HIE62F2,Slim Fit Chinos,Levi's Men's 508 Slim Fit Chinos,1759,https://images-na.ssl-images-amazon.com/images/I/81Fw6caASlL._UL1500_.jpg,Levis,Clothing,Men,833,926
93,7058,B07MGZ68L5,"A striking print in a charming colour, this medium green shirt from Park Avenue is sure to elevate your tailored looks. Featuring an Ainsley collar and full sleeves along with a chest pocket, the pure cotton profile of this slim-fit silhouette will keep you at ease through your work hours. Complete your formal ensemble by pairing this shirt with a pair of black trousers.",Parx Men's Straight Fit Casual Trousers,1999,https://images-na.ssl-images-amazon.com/images/I/71A-%2BMEcXvL._UL1500_.jpg,Parx,Clothing,Men,349,1650
94,7113,B07FL65M7W,Slim Fit Casual Trousers,Parx Men's Slim Fit Casual Trousers,999,https://images-na.ssl-images-amazon.com/images/I/816IidjhhfL._UL1500_.jpg,Parx,Clothing,Men,110,889
95,7168,B07FL9WY5N,Slim Fit Casual Trousers,Parx Men's Slim Fit Casual Trousers,1049,https://images-na.ssl-images-amazon.com/images/I/71GLoO5nAAL._UL1500_.jpg,Parx,Clothing,Men,350,699
96,7223,B07FL9PJ9R,Slim Fit Casual Trousers,Parx Men's Slim Fit Casual Trousers,1049,https://images-na.ssl-images-amazon.com/images/I/915t4QtdswL._UL1500_.jpg,Parx,Clothing,Men,482,567
97,8152,B07FL8FLDM,Slim Fit Casual Trousers,Parx Men's Slim Fit Casual Trousers,1049,https://images-na.ssl-images-amazon.com/images/I/81j7jezeitL._UL1500_.jpg,Parx,Clothing,Men,476,573
98,10472,B07FL98ZZ4,Slim Fit Casual Trousers,Parx Men's Slim Fit Casual Trousers,1199,https://images-na.ssl-images-amazon.com/images/I/71QZYB-0QHL._UL1500_.jpg,Parx,Clothing,Men,574,625
