,id,asin,description,title,price,imUrl,brand,category1,category2,cp,profit,link
46,15529,B07JF16ZTR,Collar neckline front button placketsleevelessfront pleat pockets on both sides above the knee regular fit,AND Women's A-Line Mini Dress,799,https://images-na.ssl-images-amazon.com/images/I/91bH-VkcEaL._UL1500_.jpg,And,Clothing,Women,614,185,https://www.amazon.in/dp/B07JF16ZTR
47,15587,B07CNZX7LG,"White midi dress with lace panels, gathered scoop neckline, thin adjustable straps and attached inner.",AND Women's A-Line Knee-Long Dress,1499,https://images-na.ssl-images-amazon.com/images/I/715pRW1oRwL._UL1500_.jpg,And,Clothing,Women,1231,268,https://www.amazon.in/dp/B07CNZX7LG
48,15635,B07CNYP3K1,Round neckline three-quarter sleeves pockets on both sides back button closure regular fit midi length,AND Women's A-Line Knee-Long Dress,1349,https://images-na.ssl-images-amazon.com/images/I/71QFkyhtieL._UX466_.jpg,And,Clothing,Women,847,502,https://www.amazon.in/dp/B07CNYP3K1
49,15695,B07M6FCB45,"Give unique collection to your wardrobe casuals with a stylish polo neck t-shirt which have very stylish contrast collar and cuffs. Down collar, half sleeves and solid color.",Fila Men's Solid Regular fit T-Shirt,899,https://images-na.ssl-images-amazon.com/images/I/81wALzikcaL._UL1500_.jpg,Fila,Clothing,Men,527,372,https://www.amazon.in/dp/B07M6FCB45
50,15705,B07MKYCFM7,FILA t-shirt makes you feel more easy and comfort. Attractive collection t-shirt makes you look smarter. Wear with love and feel the comfort of FILA t-shirt.,Fila Men's Solid Regular fit T-Shirt,799,https://images-na.ssl-images-amazon.com/images/I/710CKgM%2BJbL._UL1500_.jpg,Fila,Clothing,Men,630,169,https://www.amazon.in/dp/B07MKYCFM7
51,15763,B07MKYCKG1,FILA t-shirt makes you feel more easy and comfort. Attractive collection t-shirt makes you look smarter. Wear with love and feel the comfort of FILA t-shirt.,Fila Men's Solid Regular fit T-Shirt,799,https://images-na.ssl-images-amazon.com/images/I/71wMOk8TUJL._UL1500_.jpg,Fila,Clothing,Men,552,247,https://www.amazon.in/dp/B07MKYCKG1
52,15843,B076JGZR9R,Solid Regular Fit T-Shirt,Puma Men's Solid Regular Fit T-Shirt,579,https://images-na.ssl-images-amazon.com/images/I/71ygO38MHFL._UL1500_.jpg,Puma,Clothing,Men,344,235,https://www.amazon.in/dp/B076JGZR9R
53,18777,B07C93Y2LP,Printed Regular Fit T-Shirt,Puma Men's Printed Regular Fit T-Shirt,553,https://images-na.ssl-images-amazon.com/images/I/81GRRtZjpVL._UL1500_.jpg,Puma,Clothing,Men,258,295,https://www.amazon.in/dp/B07C93Y2LP
54,18839,B07BNVZG34,Printed Regular Fit T-Shirt,Puma Men's Printed Regular Fit T-Shirt,443,https://images-na.ssl-images-amazon.com/images/I/81jzz%2ByQz7L._UL1500_.jpg,Puma,Clothing,Men,434,9,https://www.amazon.in/dp/B07BNVZG34
55,19139,B07CCPK1HK,Printed Regular Fit T-Shirt,Puma Men's Printed Regular Fit T-Shirt,519,https://images-na.ssl-images-amazon.com/images/I/81JHTMmsXiL._UL1500_.jpg,Puma,Clothing,Men,450,69,https://www.amazon.in/dp/B07CCPK1HK
56,216,B07C93Y2N6,India slub v-neck tee puma black.,Puma Men's Printed Regular Fit T-Shirt,519,https://images-na.ssl-images-amazon.com/images/I/81RT7-HUlgL._UL1500_.jpg,Puma,Clothing,Men,193,326,https://www.amazon.in/dp/B07C93Y2N6
57,349,B00W6TP27E,"Fabric Details: 80% Cotton, 20% Polyester Super Combed Cotton Rich fabric Comfort Fit Deep neck line and armhole for extra comfort All over tonal graphic Authentic Jockey logo label detailing to be worn as Sportswear, Loungewear and Leisurewear.",Jockey Men's Cotton T-Shirt,305,https://images-na.ssl-images-amazon.com/images/I/71lo1Apr1tL._UL1500_.jpg,Jockey,Clothing,Men,162,143,https://www.amazon.in/dp/B00W6TP27E
